"","Mucoromycota","Basidiomycota","Ascomycota","diversity"
"F0012",0,0,1,1
"F0013",0,0.619204347899472,0.380795652100528,2
"F0014",0,0.102897138940001,0.897102861059999,2
"F0015",0,1,0,1
"F0017",0,1,0,1
"F0019",0,0.447167078469796,0.552832921530204,2
"F0020",0,0.339550232823575,0.660449767176425,2
"F0021",0,0.363244554316899,0.636755445683101,2
"F0003",0,0.387630688572561,0.612369311427439,2
"F0004",0,0,1,1
"F0005",0,0,1,1
"F0006",0,0.13382105133369,0.866178948666311,2
"F0008",0,0,1,1
"F0117",0,0,1,1
"F0118",0,0.558429770819151,0.441570229180849,2
"F0120",0,0.281412639405204,0.718587360594796,2
"F0122",0,0.38347243939917,0.61652756060083,2
"F0123",0,0.586508507069255,0.413491492930745,2
"F0124",0,1,0,1
"F0125",0,0.55566370284632,0.44433629715368,2
"F0126",0,0.666700582504515,0.333299417495485,2
"F0127",0,0.139075941857016,0.860924058142984,2
"F0128",0,0.0240397028027195,0.975960297197281,2
"F0129",0,0.136025192815778,0.863974807184222,2
"F0131",0,0.0988987444830098,0.90110125551699,2
"F0132",0,0.897616256350137,0.102383743649863,2
"F0133",0,0.354968318162058,0.645031681837942,2
"F0134",0,0.725056241259804,0.274943758740196,2
"F0135",0,0.455882675799688,0.544117324200312,2
"F0136",0,0.354995589672682,0.645004410327318,2
"F0138",0,0,1,1
"F0139",0,0.222179437812861,0.777820562187139,2
"F0140",0,0.399210164835165,0.600789835164835,2
"F0141",0,0,1,1
"F0142",0,0,1,1
"F0145",0,1,0,1
"F0146",0,0.612333800522747,0.387666199477253,2
"F0147",0,0.0518011003840963,0.948198899615904,2
"F0148",0,0.630559540889527,0.369440459110473,2
"F0151",0,0.151781362705917,0.848218637294083,2
"F0153",0,0,1,1
"F0154",0,0,1,1
"F0155",0,0,1,1
"F0157",0,0.431670732340271,0.568329267659729,2
"F0159",0,0.203428320269577,0.796571679730423,2
"F0161",0,0.0742246691585009,0.925775330841499,2
"F0162",0,0,1,1
"F0163",0,0,1,1
"F0166",0,1,0,1
"F0167",0,0.0596190073430472,0.940380992656953,2
"F0168",0,0.937969745980402,0.0620302540195985,2
"F0169",0,1,0,1
"F0170",0,0.245048118539641,0.75495188146036,2
"F0177",0,0.784953111679454,0.215046888320546,2
"F0178",0,0.946005889588847,0.0539941104111529,2
"F0179",0,0.708974193270432,0.291025806729568,2
"F0182",0,0.694592096140513,0.305407903859487,2
"F0183",0,0.202106018906306,0.797893981093694,2
"F0184",0,1,0,1
"F0185",0,0.696306954436451,0.303693045563549,2
"F0186",0,1,0,1
"F0316",0,0,1,1
"F0318",0,0,1,1
"F0320",0,1,0,1
"F0321",0,0.681057268722467,0.318942731277533,2
"F0323",0,1,0,1
"F0324",0,0.783862358211801,0.216137641788199,2
"F0332",0,0.0775123717303284,0.922487628269672,2
"F0333",0,0,1,1
"F0334",0,0.155449183474999,0.844550816525001,2
"F0336",0,0,1,1
"F0339",0,0,1,1
"F0340",0,0,1,1
"F0341",0,0,1,1
"F0344",0,0.0153723898588919,0.984627610141108,2
"F0345",0,0,1,1
"F0346",0,0,1,1
"F0348",0,0,1,1
"F0351",0,0.0228399968650985,0.977160003134901,2
"F0352",0,0,1,1
"F0353",0,0,1,1
"F0356",0,0.0164312162030172,0.983568783796983,2
"F0357",0.0507101716447136,0,0.949289828355286,2
"F0359",0,0.108991511538873,0.891008488461127,2
"F0360",0,0.0034203013257201,0.99657969867428,2
"F0368",0,0.185847915115413,0.814152084884587,2
"F0369",0,0.0278879120458159,0.972112087954184,2
"F0377",0,0,1,1
"F0212",0,1,0,1
"F0213",0,0.535031508415539,0.464968491584461,2
"F0215",0,1,0,1
"F0216",0,0.625851205271981,0.374148794728019,2
"F0218",0,0,1,1
"F0219",0,1,0,1
"F0220",0,1,0,1
"F0221",0,0.218090784323692,0.781909215676308,2
"F0222",0,0.296879568090124,0.703120431909876,2
"F0228",0,1,0,1
"F0230",0.0913607787467045,0.735773676738998,0.172865544514297,3
"F0232",0,0.643317813416106,0.356682186583894,2
"F0233",0,0,1,1
"F0235",0,0.526125289209844,0.473874710790156,2
"F0236",0,0.23947817984159,0.76052182015841,2
"F0237",0,0,1,1
"F0238",0,0.459832577116528,0.540167422883472,2
"F0240",0,0.214423219309936,0.785576780690064,2
"F0243",0,0.265031919061557,0.734968080938443,2
"F0248",0,0.45326563581814,0.54673436418186,2
"F0249",0,0.661420254535608,0.338579745464392,2
"F0258",0,0.927329831591488,0.0726701684085125,2
"F0259",0,0.22677986706143,0.77322013293857,2
"F0264",0,0,1,1
"F0266",0,0,1,1
"F0267",0,0,1,1
"F0269",0,0,1,1
"F0273",0,0,1,1
"F0278",0,0.591706395610327,0.408293604389673,2
"F0279",0,0.0797634971842227,0.920236502815777,2
"F0489",0,0.863999822801072,0.136000177198928,2
"F0494",0,0.684034449629426,0.315965550370574,2
"F0496",0,0.0835355285961872,0.916464471403813,2
"F0497",0,0.270342013252642,0.729657986747358,2
"F0500",0,0.593479108148427,0.406520891851573,2
"F0501",0,0,1,1
"F0506",0,0.445753597975644,0.554246402024355,2
"F0507",0,0.43087764503787,0.56912235496213,2
"F0510",0,0.0125935678931071,0.987406432106893,2
"F0513",0,0,1,1
"F0478",0,0.636848657300373,0.363151342699627,2
"F0514",0,0.656648857227664,0.343351142772336,2
