"","Mucoromycota","Basidiomycota","Ascomycota","diversity"
"F0023",0,0.294617563739377,0.705382436260623,2
"F0026",0,0.379042962700765,0.620957037299235,2
"F0027",0,0,1,1
"F0030",0,0.302558326629123,0.697441673370877,2
"F0031",0,0,1,1
"F0034",0,0,1,1
"F0035",0,0.211846449949676,0.788153550050324,2
"F0039",0,0.202696690490542,0.797303309509458,2
"F0041",0,1,0,1
"F0042",0,0.267433388842631,0.732566611157369,2
"F0044",0,0,1,1
"F0103",0,0.78852886405959,0.21147113594041,2
"F0105",0,0.600417878971315,0.399582121028685,2
"F0107",0,1,0,1
"F0108",0,0,1,1
"F0109",0,0,1,1
"F0110",0,0,1,1
"F0111",0,0.103880302532062,0.896119697467938,2
"F0112",0,0.388345081475985,0.611654918524015,2
"F0114",0,0,1,1
"F0115",0,0,1,1
"F0291",0,1,0,1
"F0292",0,1,0,1
"F0295",0,1,0,1
"F0299",0,1,0,1
"F0300",0,0,1,1
"F0301",0,1,0,1
"F0302",0,1,0,1
"F0307",0,0,1,1
"F0310",0,1,0,1
"F0313",0,0,1,1
"F0315",0,0,1,1
"F0362",0,0,1,1
"F0365",0,1,0,1
"F0371",0,0,1,1
"F0374",0,0,1,1
"F0376",0,0,1,1
"F0423",0,0.776795852875833,0.223204147124167,2
"F0424",0,1,0,1
"F0427",0,0.978310440793608,0.021689559206392,2
"F0429",0,0,1,1
"F0430",0,0.722223722223722,0.277776277776278,2
"F0432",0,0,1,1
"F0435",0,0,1,1
"F0436",0,0.911973466003317,0.0880265339966833,2
"F0438",0,0.644841556938214,0.355158443061786,2
"F0439",0,0,1,1
"F0441",0,0,1,1
"F0443",0,0.747242493918491,0.252757506081509,2
"F0444",0,1,0,1
"F0445",0,1,0,1
"F0446",0,1,0,1
"F0449",0,0.26703151538026,0.73296848461974,2
"F0454",0,0.225333891404437,0.774666108595563,2
"F0458",0,1,0,1
"F0526",0,0,1,1
"F0527",0,0.12394652381722,0.87605347618278,2
"F0528",0,0.84445564516129,0.15554435483871,2
"F0529",0,0,1,1
"F0530",0,1,0,1
"F0531",0,1,0,1
"F0532",0,0.149943030763388,0.850056969236612,2
"F0533",0,1,0,1
"F0534",0,1,0,1
"F0535",0,0.229319575166221,0.77068042483378,2
"F0538",0,1,0,1
"F0541",0,0,1,1
"F0545",0,0.184638604729163,0.815361395270837,2
"F0546",0,0.430809830117104,0.569190169882896,2
"F0548",0,0,1,1
"F0549",0,1,0,1
"F0550",0,0.317322884408772,0.682677115591228,2
"F0552",0,1,0,1
"F0554",0,1,0,1
"F0555",0,0,1,1
"F0557",0,0.697043832823649,0.302956167176351,2
"F0560",0,0,1,1
"F0563",0,0,1,1
"F0566",0,0.159602192732828,0.840397807267172,2
"F0567",0,0.144385561443856,0.855614438556144,2
"F0568",0,0.473964739647396,0.526035260352604,2
